#,Element,Alpha_P_H,Alpha_PP_H,Beta_x,Alpha_x,Mu_x,Beta_y,Alpha_y,Mu_y,Semi_Ap_H,Semi_Ap_V,Dist_Datum_D,Ap_H,Ap_V,Ratio_Ap_Beta_x,Ratio_Ap_Beta_y
119,SQ3,1.077135,-0.054941,2.779054,-0.928506,0.30581,10.085574,1.919346,0.217339,50.801542,70.854362,11.4372,0.101603084,0.1417087239999999,0.0365603129698091,0.0140506354918421
120,SQ4,1.075229,-0.043448,2.85319,-0.984936,0.308,9.933463,2.005564,0.217955,51.303413,70.355866,11.47595,0.102606826,0.140711732,0.0359621427244592,0.014165425692933
121,SQ5,1.073621,-0.039544,2.930968,-1.022338,0.310133,9.77748,2.019641,0.218581,51.825175,69.840699,11.5147,0.10365035,0.139681398,0.0353638627238509,0.0142860325973563
122,L26,1.072997,-0.039497,2.963432,-1.033489,0.310986,9.71383,2.011122,0.218839,52.041145,69.629305,11.530491,0.10408229,0.13925861,0.0351222130286775,0.0143361176796382
123,L26,1.072374,-0.039449,2.996247,-1.044642,0.311829,9.65045,2.002606,0.219099,52.258282,69.418114,11.546282,0.104516564,0.138836228,0.0348824926649905,0.0143865030128128
124,BF6,1.071193,-0.039263,3.059561,-1.065835,0.313406,9.530779,1.986436,0.219596,52.673967,69.017457,11.576282,0.105347934,0.1380349139999999,0.0344323692189827,0.0144830673337405
125,BF5,1.067309,-0.038418,3.279794,-1.136508,0.318431,9.138883,1.932543,0.221302,54.08816,67.687476,11.676282,0.10817632,0.135374952,0.032982656837594,0.0148130742017377
126,BF5,1.063509,-0.037584,3.51417,-1.207271,0.32312,8.757753,1.878782,0.223081,55.543102,66.366388,11.776282,0.111086204,0.132732776,0.0316109362950568,0.0151560310047565
127,BF4,1.05781,-0.033659,3.91664,-1.307763,0.329986,8.174287,1.768515,0.226091,57.935833,64.286959,11.936282,0.115871666,0.1285739179999999,0.0295844565750234,0.0157290682355537
128,BF3,1.056483,-0.032678,4.022252,-1.332499,0.33159,8.033887,1.741539,0.226877,58.54379,63.775601,11.976282,0.11708758,0.127551202,0.0291099563130306,0.015876648750474
129,BF2,1.053384,-0.0293,4.292147,-1.3657,0.33542,7.69632,1.634948,0.228901,60.063419,62.527537,12.076282,0.120126838,0.125055074,0.0279875870980187,0.0162486843062658
130,BF2,1.050623,-0.025905,4.568226,-1.394313,0.339014,7.37959,1.533119,0.231013,61.571055,61.331374,12.176282,0.12314211,0.122662748,0.0269562210801304,0.0166218920021301
131,BF1,1.049164,-0.022734,4.736421,-1.408648,0.341067,7.199077,1.475688,0.232323,62.468371,60.638143,12.236282,0.124936742,0.121276286,0.0263778794157022,0.0168460881860271
132,BF0,1.047155,-0.017439,5.020232,-1.428646,0.34433,6.913252,1.383221,0.23458,63.94948,59.522457,12.336282,0.12789896,0.119044914,0.0254767030687028,0.0172198140614576
133,BF0,1.045677,-0.012135,5.307551,-1.443717,0.347413,6.645532,1.294597,0.236928,65.40982,58.456326,12.436282,0.13081964,0.1169126519999999,0.0246478347546731,0.0175926700826961
134,BF0,1.044729,-0.006827,5.597387,-1.453804,0.350333,6.395173,1.209572,0.23937,66.846446,57.439723,12.536282,0.133692892,0.114879446,0.0238848755678319,0.0179634618172174
135,BF0,1.044311,-0.001519,5.888738,-1.458871,0.353105,6.161479,1.127913,0.241906,68.256634,56.472672,12.636282,0.136513268,0.112945344,0.0231820923260637,0.0183308819197468
136,BF0,1.044425,0.003784,6.180599,-1.458896,0.355743,5.943799,1.049394,0.244536,69.637849,55.555251,12.736282,0.139275698,0.111110502,0.022534336558641,0.0186935160492472
137,BF0,1.045068,0.00908,6.47196,-1.453876,0.358259,5.741527,0.973797,0.247261,70.987734,54.687588,12.836282,0.141975468,0.109375176,0.0219370125896946,0.01904984092211
138,BF0,1.04624,0.014362,6.761814,-1.443827,0.360665,5.554099,0.900914,0.25008,72.304086,53.869853,12.936282,0.144608172,0.107739706,0.0213860026318381,0.019398232908704
139,BF0,1.04794,0.019628,7.049158,-1.428781,0.36297,5.380993,0.830544,0.252991,73.584843,53.102257,13.036282,0.147169686,0.106204514,0.020877626235644,0.0197369730828492
140,BF0,1.050165,0.024872,7.332996,-1.408787,0.365183,5.221727,0.76249,0.255994,74.828075,52.385046,13.136282,0.14965615,0.104770092,0.02040859561358,0.0200642607321294
141,BF0,1.052913,0.030091,7.612347,-1.383913,0.367313,5.075855,0.696565,0.259086,76.031966,51.718495,13.236282,0.1520639319999999,0.1034369899999999,0.0199759590570424,0.02037823972513
142,BF0,1.056182,0.035279,7.886242,-1.354242,0.369367,4.942971,0.632586,0.262264,77.194816,51.102902,13.336282,0.154389632,0.102205804,0.0195770852580988,0.0206769985096008
